topic,text,audio
初次见面…,我是刻晴，璃月七星中的「玉衡」。变革的时机已经到来，维持了千年的秩序即将被改写。这历史性的时刻，你愿意和我一起见证吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/16/76953456/713d79d67bdbb5c1509b1567bf50ff05_704464920340909125.mp3
闲聊·耽误,耽误太多时间，事情可就做不完了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/17/76953456/41941cbab6ccb6572efd29ce326b303c_3691026744967867861.mp3
闲聊·放松,劳逸结合是不错，但也别放松过头。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/17/76953456/01e61b641de1046af0ed19c2047f12d9_4971387128403986195.mp3
闲聊·机会,无论是冒险还是做生意，机会都稍纵即逝。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/ed0b4a4545a9df238a37f1ca6f675eae_2391902056180561221.mp3
下雨的时候…,好大的雨…真耽误事。所以说他们的工作，明明昨天就能做完，为什么要拖到今天？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/e9d1b531f50c25f77d1f39373bc15976_8808410988160985999.mp3
打雷的时候…,电闪雷鸣虽然有点吓人，但璃月港的防雷防火工事是一流的，不用担心。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/2d801ee13c45b8e53aad76f85a129cb4_5465136519574506593.mp3
下雪的时候…,没关系，继续前进吧。这种程度的雪，算不了什么。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/57e51ffae919c968b7eb64bc8ca5c629_8677368825042936353.mp3
阳光很好…,啊…天气这么好，工作又正好告一段落，要不要…去逛逛街呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/f8053d73ca089be6034a3eaf91fd4031_3842172300117690710.mp3
早上好…,早安，早上的状态会为一天奠定基调，就算仍有困意，也要强迫自己打起精神来！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/16/76953456/1309a25eb4051d94c13f993e51c28b99_1878923337727918341.mp3
中午好…,我没有午休的习惯，不过如果你累了，就去休息吧，三分钟之后我会叫醒你的。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/17/76953456/05421c2ccf3fa69f48dcc43ed3fa85d4_875282729129751775.mp3
晚上好…,夜幕降临，灯火初上。嗯——又是安宁祥和的一天呢。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/17/76953456/5a3d0d128a2dfa279a4c9198b12b067a_8892571333811696491.mp3
晚安…,祝你好梦。我吗？…嗯，还有十来件事要处理，做完就能休息了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/17/76953456/7c1821a781b8a6b4a323228ab3f4fdfd_6991361680372477662.mp3
关于刻晴自己·理念,觉得自己是正确的，就要大声地说出来，坚决地去行动——这是我一直以来都贯彻的人生理念。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/2a67501a1c41e68fced449046448466a_1521619080898860082.mp3
关于刻晴自己·本职,我的本职工作，是管理土地与建设。璃月幅员辽阔，物产丰饶，但若是缺乏合理规划，只重视眼前利益，就没办法抵抗风险。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/99a719ccb4dbd2c60c0f1a739cedfc8d_6389582745243516479.mp3
关于刻晴自己·质疑,"在你看来，支撑璃月走过千年，最重要的东西是什么？ …帝君？…我不这么觉得，因为必须依靠努力才能生存下去的，终究是我们人类啊。高高在上的他却要介入一切。哼，说句不好听的，他真的什么都懂吗？",https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/bd1a2d6b194da9cb1d92b551fa77aaa8_2439063891673732893.mp3
关于刻晴自己·反思,真的接手璃月的各种事务之后，才深感帝君千年来的辛劳。最近我遇上的棘手问题数不胜数，我总会不自觉地去想：「若是帝君，这时候会怎么做呢？」说不定，他真的什么都懂，是我太不成熟了…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/a2dac17bb42d6bfda2b341a82b23f8a8_1643391414832488522.mp3
关于我们·追寻,我很欣赏你，面对神明，不笃信，不盲从，随时保持独立思考，有问题就大胆问出来，没有答案就会一直追寻下去。别不好意思，这才是正确的态度，毕竟，谁又能保证，神就不会犯错呢？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/dddaf265c25ac8f4f44bf75003f101c1_2849866987800346085.mp3
关于我们·尝试,这没什么难的，你试试就知道了。如果试过以后还不行的话…？不，你从没让我失望过，所以我相信你不是那样的人。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/d899229f7b74def10bda01e2daa49d6f_2079340047713150453.mp3
关于我们·鼓励,过去的我太天真了。想要和帝君相提并论，我…真的有这个资格吗？…欸？嗯…你说得对，明明在其他事情上都很有自信，为什么我会为这件事烦恼。与其在这里垂头丧气，不如多做多学，努力追上他,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/f7a6968e41c508bded11ce88753b33ef_7803224174765624042.mp3
关于「神之眼」·质疑,都说「神之眼」是神的认可，我才不需要这种东西。不如说我还有点生气呢！就像我一直以来的工作成果，都是多亏了神的力量一样。明明是我自己的功劳，和神才没什么关系。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/496dd72e23b5e5d42559cb007aff128c_1366936954992345825.mp3
关于「神之眼」·反思,原来…帝君是想让我用超乎常人的力量，去带领大家。哼，就算没有这份认可，我也可以把工作做得很好！等…等着看吧！我不会让他失望的！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/8519645b6fc1c2050292fb242976f778_3336713577294812047.mp3
有什么想要分享·倡议,除开「璃月七星」的工作，我也会做很多公益方面的事，大多数的反响都还不错。但类似「每天多工作一个时辰」这样的倡议，就遇到了不小的阻力…唉，看来想法还是太超前了，要不然，下次改成半个时辰试试吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/9699f27bb508a8a9adf5708b2828a0fa_7424506164941721346.mp3
有什么想要分享·纪念品,帝君的纪念品？你该不会觉得，我的房间里都是这种东西吧？我早就不是小女孩了！虽然…呃，确实是新买了几个帝君的土偶，但、但这些都是用来自我提醒的！和崇拜，仰慕什么的，通通没关系！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/3c50f362f64da067955cd63c1d2df23c_2371798853106788578.mp3
感兴趣的见闻…,我听过一则流传在蒙德的故事：勇气让小鸟学会了飞翔。不过，应该是先有对浩瀚天空无与伦比的向往，才会有振翅的冲动与勇气吧。对我来说，璃月，就是那片天空。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/cd97b18d76b067a348bb2005e0f55040_8439654019072132586.mp3
关于钟离…,那位「往生堂」的先生，确实博学多才，令人敬佩，但他的思维方式，终究还是太像帝君的那一套了…如果他更有主见的话，将他招揽到我的身边做事，一定会大有帮助。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/1a03078745cf4fd54a3dd798e766cc32_4705926933878651711.mp3
